E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.8180;2.3023;0.8182;0.3683;1.8178;25.2499;747.6235;11.8610;11.4110;26.2497;
Sup. T-student;0.8198;2.3137;0.8193;0.3691;1.8198;25.4579;766.5490;11.9585;11.5083;26.4578;
Inf. T-student;0.8162;2.2908;0.8171;0.3674;1.8157;25.0418;728.6979;11.7635;11.3137;26.0415;
Prec. T-student;0.0022;0.0050;0.0013;0.0024;0.0011;0.0082;0.0253;0.0082;0.0085;0.0079;
Sup. Chi-Quadrado;0.8580;2.4148;0.8582;0.3863;1.9066;26.4835;784.1499;12.4405;11.9685;27.5322;
Inf. Chi-Quadrado;0.7812;2.1988;0.7814;0.3517;1.7360;24.1143;713.9999;11.3276;10.8978;25.0691;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.8165;2.2944;0.8173;0.3674;1.8164;25.2421;751.4464;11.8522;11.4024;26.2419;
Sup. T-student;0.8183;2.3061;0.8184;0.3683;1.8185;25.4512;769.6934;11.9501;11.5001;26.4511;
Inf. T-student;0.8147;2.2827;0.8162;0.3666;1.8144;25.0329;733.1994;11.7543;11.3046;26.0326;
Prec. T-student;0.0022;0.0051;0.0014;0.0024;0.0011;0.0083;0.0243;0.0083;0.0086;0.0080;
Sup. Chi-Quadrado;0.8564;2.4065;0.8572;0.3854;1.9052;26.4753;788.1597;12.4312;11.9594;27.5240;
Inf. Chi-Quadrado;0.7798;2.1912;0.7806;0.3509;1.7347;24.1068;717.6510;11.3191;10.8895;25.0617;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.8184;2.3018;0.8186;0.3685;1.8185;25.3205;751.0307;11.8927;11.4426;26.3206;
Sup. T-student;0.8201;2.3128;0.8197;0.3693;1.8205;25.5349;773.4840;11.9930;11.5427;26.5350;
Inf. T-student;0.8167;2.2908;0.8175;0.3676;1.8164;25.1062;728.5774;11.7924;11.3424;26.1062;
Prec. T-student;0.0021;0.0048;0.0013;0.0023;0.0011;0.0085;0.0299;0.0084;0.0088;0.0081;
Sup. Chi-Quadrado;0.8584;2.4142;0.8586;0.3865;1.9073;26.5576;787.7236;12.4738;12.0016;27.6065;
Inf. Chi-Quadrado;0.7816;2.1982;0.7818;0.3519;1.7367;24.1818;717.2539;11.3579;10.9280;25.1369;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.8179;2.3013;0.8185;0.3683;1.8180;25.4984;767.8412;11.9767;11.5265;26.4986;
Sup. T-student;0.8197;2.3124;0.8195;0.3692;1.8200;25.7072;785.9481;12.0744;11.6241;26.7075;
Inf. T-student;0.8162;2.2902;0.8174;0.3674;1.8160;25.2896;749.7343;11.8790;11.4289;26.2897;
Prec. T-student;0.0022;0.0048;0.0013;0.0023;0.0011;0.0082;0.0236;0.0082;0.0085;0.0079;
Sup. Chi-Quadrado;0.8579;2.4137;0.8584;0.3863;1.9068;26.7442;805.3555;12.5618;12.0896;27.7932;
Inf. Chi-Quadrado;0.7812;2.1978;0.7816;0.3517;1.7362;24.3516;733.3084;11.4381;11.0081;25.3068;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2];
Media;0.8177;2.2971;0.8183;0.3682;1.8175;25.3127;748.1172;11.8912;11.4410;26.3128;
Sup. T-student;0.8194;2.3084;0.8194;0.3691;1.8196;25.5140;766.5958;11.9856;11.5352;26.5142;
Inf. T-student;0.8159;2.2859;0.8172;0.3673;1.8155;25.1115;729.6386;11.7968;11.3467;26.1115;
Prec. T-student;0.0022;0.0049;0.0013;0.0024;0.0011;0.0080;0.0247;0.0079;0.0082;0.0077;
Sup. Chi-Quadrado;0.8576;2.4094;0.8583;0.3862;1.9063;26.5494;784.6678;12.4722;12.0000;27.5984;
Inf. Chi-Quadrado;0.7809;2.1938;0.7815;0.3516;1.7358;24.1743;714.4715;11.3564;10.9264;25.1294;
Prec. Chi-Quadrado;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;0.0468;
