Rodada;E[W1];V[W1];E[N1];E[Nq1];E[T1];E[W2];V[W2];E[N2];E[Nq2];E[T2]
1;0.4275797976337659;1.0338547846274693;0.4304030670483216;0.12863316217941156;1.430670390056472;3.6986827211043254;26.677850595787984;1.4150317600077673;1.1127491156816018;4.703458577353906
2;0.4397540358127648;1.0820460968207053;0.43389634314311326;0.13251239944288826;1.4399231228446634;3.699084153936627;26.13336770835126;1.416924436193945;1.1146671625308175;4.702153249621308
3;0.4292763135568871;1.0432895239121844;0.42878951976398544;0.12874390430606897;1.4297369783859304;3.747952602030237;28.51751291200472;1.4243664947479149;1.1240092963801056;4.749455124489507
4;0.4362378959565949;1.0847269945545592;0.43198470025216623;0.1311358381285449;1.4370392513551051;3.6243725078312905;26.643825978750037;1.3891216915277091;1.0895476206140522;4.6209215479868
5;0.4280488027684818;1.0293809980346973;0.4275942579663461;0.12816756471158944;1.428067916280476;3.6893748941489406;26.529278847559816;1.4043381502112375;1.1046048521597516;4.69044892123179
6;0.43345030725331957;1.0742294938739119;0.43074611935636914;0.12974549413092767;1.439027617658223;3.710121164216035;27.384761745353394;1.4129484190559092;1.110629564900499;4.720092158622053
7;0.43599090394308454;1.0552109759016186;0.43305312101637067;0.1312495055771712;1.4385392163162445;3.706616731657948;27.329241589957306;1.417131575597092;1.1158218205883899;4.707511734701385
8;0.43196095245674215;1.0777715148366411;0.43006099985892304;0.12985061264187822;1.4306302575813281;3.6961073690018837;27.323568652593167;1.4125599236936284;1.1110387728137543;4.699184112361553
9;0.43544542929486396;1.0900748143814882;0.430601746949398;0.13069295569198686;1.4345741588657908;3.6514724121330717;25.366928092379855;1.3959428933221032;1.095955429304172;4.650768377392246
10;0.4365450766653578;1.0913770069848523;0.43367761035151675;0.1314282980288788;1.4406278331397893;3.6747488164289774;26.516179515271613;1.4069135090206617;1.1063186657513173;4.6733595584815
11;0.4266937575888143;1.0360398150649686;0.4271116158978322;0.1274185188196712;1.4302586526993568;3.6051399006851566;26.258308564924924;1.3746301951788078;1.0766132367318169;4.6031071795627385
12;0.42834392819877465;1.0313512383133052;0.4288254491155022;0.12867179044497729;1.4275450489229522;3.6913568467021483;26.30793593659638;1.4097721743246812;1.1088510272463519;4.693133805414084
13;0.43169295821948944;1.0548909406997888;0.43135277619366585;0.13017807691790764;1.4304402123604623;3.627444986509497;25.020126603384078;1.3937027324606048;1.0938741039264865;4.621707542183101
14;0.412923996864928;0.960516674047025;0.4224312586039166;0.12354567910721066;1.4118826733858605;3.54663873158202;23.594274570110638;1.3600236160259338;1.0611441668893076;4.545576918736091
15;0.4313142493880297;1.049564277300582;0.43040431634767956;0.12975880994007502;1.4306463233771454;3.680605634370584;25.968714938859705;1.4081901739696987;1.1072355286255244;4.681070904647066
16;0.43605669477155296;1.0817309649224365;0.4300644186259471;0.13053752622220044;1.436621467300877;3.627238532612456;25.408875039301194;1.384584468362006;1.0858957245696719;4.624917961410582
17;0.4170689099330885;0.96352191828652;0.42536164995610154;0.12528363604159143;1.4160515062749386;3.59652835035047;25.003766192890808;1.3792651320655536;1.079730013283769;4.5937862670393566
18;0.42875300269510885;1.0151406810072874;0.43125342048420096;0.129339770355025;1.4295536531673838;3.709572071577711;28.55035180397674;1.4224409692953057;1.1196924251796674;4.7130376000126635
19;0.42076623729771073;1.0004130007208727;0.4233366455058802;0.12525444072478087;1.4221153679372185;3.5293212190170125;24.118572328255155;1.3468272049629368;1.050230007557657;4.5258425285812
20;0.4353590297854033;1.053974213663888;0.4324536940995034;0.13081611846892363;1.4392213206857816;3.668995045814374;26.3213775015182;1.4021954401331933;1.1027847032903022;4.665304845139766
Media T-student;0.430163114004238;-;0.42967013652683705;0.12914820509408548;1.4311586484298002;3.6590687345855386;-;1.3988455480078348;1.0985696619012508;4.659241945748436
Superior T-student;0.43337907116726637;-;0.4311526208557637;0.13022402354439688;1.4347756828668792;3.685846480902243;-;1.4086551144308093;1.1077385995856854;4.687151917103038
Inferior T-student;0.42694715684120965;-;0.4281876521979104;0.12807238664377407;1.4275416139927213;3.632290988268834;-;1.3890359815848603;1.0894007242168162;4.6313319743938335
Precisão T-student;0.007476134188010982;-;0.0034502847717322667;0.00833010764282533;0.0025273469444126954;0.00731818619956521;-;0.007012615822343411;0.008346250586026923;0.005990238686803951
Superior Chi-Quadrado;0.26187680149094295;2.874523924146431e-05;0.2615766842545135;0.0786234750662564;0.8712677518723854;2.227585735394626;0.0019929365073936313;0.8515960247780054;0.6687926042651157;2.8364760678039374
Inferior Chi-Quadrado;0.9659514241604453;0.00010602888314292123;0.9648444201406405;0.2900083446884479;3.2137337899145946;8.216610258310148;0.007351089697973118;3.141173209159338;2.466889640013433;10.462546058654961
Precisão Chi-Quadrado;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709;0.5734308822359709
